SCHOOL NAME,CODE,ENTRY,ENGLISH,KISWAHILI,K. S. L.,MATHS,SCIENCE,SSTR,MEAN,RANK,NATIONAL,DISTRICT_NAME,School code,county code,county name
AKADO,704032,16.0,42.0,34.0,0.0,39.62,43.43,40.12,199.17,803,19664,HOMA BAY,39714135,39,KISUMU
AKADO,704032,16.0,42.0,34.0,0.0,39.62,43.43,40.12,199.17,803,19664,HOMA BAY,39733102,39,KISUMU
AKADO,704032,16.0,42.0,34.0,0.0,39.62,43.43,40.12,199.17,803,19664,HOMA BAY,41704032,41,HOMA BAY
AKADO,714135,35.0,53.31,46.8,0.0,52.65,58.0,52.42,263.18,224,6792,KISUMU WEST,39714135,39,KISUMU
AKADO,714135,35.0,53.31,46.8,0.0,52.65,58.0,52.42,263.18,224,6792,KISUMU WEST,39733102,39,KISUMU
AKADO,714135,35.0,53.31,46.8,0.0,52.65,58.0,52.42,263.18,224,6792,KISUMU WEST,41704032,41,HOMA BAY
AKADO,733102,22.0,63.36,40.31,0.0,69.81,58.86,60.0,292.34,93,3043,NYAKACH,39714135,39,KISUMU
AKADO,733102,22.0,63.36,40.31,0.0,69.81,58.86,60.0,292.34,93,3043,NYAKACH,39733102,39,KISUMU
AKADO,733102,22.0,63.36,40.31,0.0,69.81,58.86,60.0,292.34,93,3043,NYAKACH,41704032,41,HOMA BAY
AKAIGA,349212,19.0,29.73,29.78,0.0,41.15,41.05,40.89,182.6,727,20968,TIGANIA EAST,15349212,15,MERU
AKAIRU,349227,33.0,38.48,52.96,0.0,42.39,40.96,44.12,218.91,527,16658,TIGANIA EAST,15349227,15,MERU
AKALA,724101,32.0,51.0,37.12,0.0,52.87,55.25,62.87,259.11,255,7608,NDHIWA,41724101,41,HOMA BAY
AKALA,724101,32.0,51.0,37.12,0.0,52.87,55.25,62.87,259.11,255,7608,NDHIWA,44729206,44,MIGORI
AKALA,729206,21.0,36.28,27.9,0.0,38.33,35.23,36.61,174.35,615,21322,NYATIKE,41724101,41,HOMA BAY
AKALA,729206,21.0,36.28,27.9,0.0,38.33,35.23,36.61,174.35,615,21322,NYATIKE,44729206,44,MIGORI
AKATAGOROIT,620121,29.0,46.68,41.72,0.0,47.89,44.37,38.86,219.52,333,16527,TESO SOUTH,35620121,35,BUSIA
AKELE,704217,14.0,40.5,24.42,0.0,41.64,48.85,48.28,203.69,784,19144,HOMA BAY,41704217,41,HOMA BAY
AKIBA SCHOOL KANGEMA,401470,19.0,56.63,56.47,0.0,48.21,51.05,52.1,264.46,361,6553,Nairobi,,,
AKICHELESIT,606115,35.0,58.85,59.82,0.0,55.97,63.51,72.74,310.89,27,1842,TESO NORTH,35606115,35,BUSIA
AKINGLI,702056,22.0,41.4,28.31,0.0,42.59,42.54,39.13,193.97,630,20164,KISUMU MUNICIPALITY,39702056,39,KISUMU
AKIRIAMET,606116,29.0,38.89,38.96,0.0,45.03,38.93,37.62,199.43,360,19638,TESO NORTH,35606116,35,BUSIA
AKITES,620201,48.0,43.97,40.47,0.0,47.27,46.91,44.22,222.84,327,15864,TESO SOUTH,35620201,35,BUSIA
AKOBWAIT,620101,41.0,41.39,48.36,0.0,45.41,46.65,48.9,230.71,312,14226,TESO SOUTH,35620101,35,BUSIA
AKOBWAIT (CHA) R C,606134,32.0,43.31,50.43,0.0,47.0,45.5,43.4,229.64,314,14475,TESO NORTH,35606134,35,BUSIA
AKOKO,712201,30.0,47.73,34.23,0.0,43.06,46.73,38.83,210.58,578,18113,BONDO,42712201,42,SIAYA
AKOKO,712201,30.0,47.73,34.23,0.0,43.06,46.73,38.83,210.58,578,18113,BONDO,44739115,44,MIGORI
AKOKO,739115,23.0,40.78,38.78,0.0,47.17,51.73,47.52,225.98,410,15244,,42712201,42,SIAYA
AKOKO,739115,23.0,40.78,38.78,0.0,47.17,51.73,47.52,225.98,410,15244,,44739115,44,MIGORI
AKOLONG,606103,53.0,43.86,46.05,0.0,41.18,63.56,58.86,253.51,222,8804,TESO NORTH,35606103,35,BUSIA
AKOM,721256,18.0,52.05,38.05,0.0,57.66,56.55,53.88,258.19,208,7796,RARIEDA,42721256,42,SIAYA
AKONJO,736101,32.0,45.31,32.18,0.0,48.65,52.34,50.59,229.07,397,14589,URIRI,44736101,44,MIGORI
AKONYA,714126,25.0,52.28,38.48,0.0,44.48,55.04,47.24,237.52,410,12577,KISUMU WEST,39714126,39,KISUMU
AKOREET,620102,42.0,40.64,43.66,0.0,43.4,52.19,43.21,223.1,326,15811,TESO SOUTH,35620102,35,BUSIA
AKOROYAN,547146,20.0,49.15,57.5,0.0,53.55,55.65,54.3,270.15,146,5614,BARINGO NORTH,33547146,33,BARINGO
AKUI,309409,42.0,45.71,55.11,0.0,43.5,46.11,44.52,234.95,397,13188,IGEMBE SOUTH,15309409,15,MERU
AKUISI,552504,72.0,40.34,44.16,0.0,40.94,36.09,35.79,197.32,686,19829,RONGAI,27552504,27,NAKURU
AKUOM,721152,26.0,48.88,37.42,0.0,54.61,48.38,52.69,241.98,354,11494,RARIEDA,42721152,42,SIAYA
AKUUNE,337106,69.0,42.6,50.13,0.0,40.27,46.97,43.28,223.25,495,15774,IGEMBE NORTH,15337106,15,MERU
AKWAKRA,731001,21.0,57.09,47.8,0.0,52.9,55.42,57.28,270.49,164,5546,RACHUONYO NORTH,41731001,41,HOMA BAY
AKWANYA,713052,19.0,47.47,46.63,0.0,50.68,46.89,47.94,239.61,392,12055,NYANDO,39713052,39,KISUMU
AL KALYA,564315,13.0,41.3,52.61,0.0,47.76,47.61,65.0,254.28,263,8645,NJORO,27564315,27,NAKURU
AL MAJIS ALIFRIQIA,401696,26.0,54.73,39.42,0.0,52.07,48.0,59.0,253.22,406,8856,Nairobi,20404076,20,NAIROBI
AL MAKTOUM ACADEMY,401325,21.0,77.19,60.8,0.0,60.09,63.04,66.9,328.02,108,1114,Nairobi,20408033,20,NAIROBI
AL-ANSAARU NURSERY $ PRIM,401359,22.0,77.27,83.45,0.0,65.68,73.81,83.27,383.48,4,34,Nairobi,,,
AL-BUKHARI ACAD,803119,21.0,61.8,57.38,0.0,62.33,65.61,68.04,315.16,2,1636,MANDERA EAST,47803119,47,MANDERA
AL-FAROUQ BOYS,801109,142.0,58.64,55.84,0.0,47.58,53.4,69.24,284.7,22,3723,GARISSA,45801109,45,GARISSA
AL-FATIHAH,106171,19.0,68.94,67.68,0.0,62.57,62.36,66.36,327.91,52,1120,MOMBASA,3106171,3,MOMBASA
AL-HAKIM,801132,14.0,72.92,72.35,0.0,65.57,67.57,77.14,355.55,6,316,GARISSA,45801132,45,GARISSA
