SCHOOL NAME,CODE,ENTRY,ENGLISH,KISWAHILI,K. S. L.,MATHS,SCIENCE,SSTR,MEAN,RANK,NATIONAL,DISTRICT_NAME,School code,county code,county name
A I C MUKUYUNI,307211,91,54.35,62.69,0.0,66.2,59.58,57.43,300.25,77,2436,MAKUENI,18307211,18,MAKUENI
A I C MUTULANI,307116,28,52.07,49.42,0.0,62.92,56.07,60.78,281.26,206,4160,MAKUENI,18307116,18,MAKUENI
A I C NDUNE,341322,12,45.5,49.25,0.0,53.16,43.5,44.33,235.74,233,12963,MBEERE SOUTH,14341322,14,EMBU
A I C TAMBOIYOT,509222,26,41.61,45.26,0.0,52.61,56.07,45.5,241.05,393,11832,ELDORET WEST,,,
A I C TARUS,509137,28,40.0,50.35,0.0,44.71,47.1,50.53,232.69,424,13631,ELDORET WEST,26509137,26,UASIN GISHU
A I C TENAI,509155,33,63.33,68.09,0.0,64.63,63.18,64.63,323.86,57,1208,ELDORET WEST,26509155,26,UASIN GISHU
A I C WANGO,341402,28,52.21,53.42,0.0,47.07,50.6,50.39,253.69,161,9107,MBEERE SOUTH,14341402,14,EMBU
A I P C A KIITHE,319133,17,53.29,55.64,0.0,52.0,51.29,49.58,261.8,216,7410,IMENTI SOUTH,15319133,15,MERU
A I P C A UHURU ACADEMY,502236,13,55.3,61.23,0.0,49.15,52.69,56.53,274.9,19,5061,SAMBURU,22502236,22,SAMBURU
A RAY OF HOPE ACADEMY,106460,15,62.66,65.4,0.0,49.06,46.86,54.2,278.18,119,4574,MOMBASA,3106460,3,MOMBASA
A.B.C KATHIANI ACADEMY,329175,57,75.08,70.77,0.0,74.1,67.77,67.75,355.47,5,266,KATHIANI,,,
A.B.C. NOA ACADEMY,716151,20,50.3,59.55,0.0,55.6,63.0,55.45,283.9,97,3847,KISII SOUTH,40716151,40,KISII
A.C.K EMMANUEL,557268,10,62.2,53.4,0.0,58.2,56.4,53.4,283.6,97,3886,KAJIADO NORTH,31557268,31,KAJIADO
A.C.K KAANWA,308148,22,47.5,46.13,0.0,41.09,50.68,44.54,229.94,215,14214,MERU SOUTH,19308148,19,THARAKANITHI
A.C.K KAVOKO,302238,35,40.6,43.4,0.0,43.25,43.02,39.91,210.18,748,17759,KITUI CENTRAL,,,
A.C.K RIANDU,312103,21,41.52,45.38,0.0,43.14,42.42,42.66,215.12,334,16996,MBEERE NORTH,14312103,14,EMBU
A.C.K RIVERSIDE,232323,24,54.2,59.12,0.0,50.37,49.7,51.16,264.55,300,6881,GITHUNGURI,11232323,11,KIAMBU
A.C.K ST MARTINS VISION S,302122,34,64.64,68.55,0.0,53.58,51.79,54.76,293.32,58,2919,KITUI CENTRAL,,,
A.C.K ST. THOMAS ACADEMY,203428,20,73.15,68.65,0.0,69.15,68.05,69.1,348.1,18,414,KIRINYAGA CENTRAL,,,
A.C.K ST.STEPHEN ACAD K.,204267,18,63.27,52.27,0.0,60.61,54.38,53.38,283.91,86,3846,MURANG'A EAST,,,
A.C.K. GOOD SAMARITAN,401672,20,64.95,55.6,0.0,50.7,46.45,55.7,273.4,298,5296,Nairobi,20404074,20,NAIROBI
A.C.K. ST JOSEPH-GATHAITI,236328,20,51.3,39.6,0.0,54.4,43.8,42.75,231.85,440,13810,GATUNDU NORTH,11236328,11,KIAMBU
A.C.K. ST LUKES,206047,29,72.37,60.96,0.0,57.41,62.44,63.13,316.31,130,1535,THIKA MUNICIPALITY,11206047,11,KIAMBU
A.C.K. ST MARY THINDIGUA,205227,11,68.36,64.18,0.0,60.45,57.27,54.0,304.26,177,2170,KIAMBU,,,
A.C.K. ST PETERS KAME,208118,32,64.12,58.31,0.0,58.12,55.59,57.0,293.14,67,2930,MURANG'A SOUTH,10208118,10,MURANG'A
A.C.K. ST PETERS KANGUI A,226182,7,46.0,43.71,0.0,42.85,38.28,42.42,213.26,427,17298,KANDARA,,,
A.C.K. ST PHILIP,303341,6,63.5,61.0,0.0,53.16,52.16,50.5,280.32,85,4306,EMBU WEST,14355120,14,EMBU
A.C.K.ST JOHN KANGEMI,401697,21,73.19,59.04,0.0,53.33,59.28,58.57,303.41,181,2216,Nairobi,20406060,20,NAIROBI
A.C.K.ST PETER MUGURU,229219,15,55.66,66.46,0.0,55.4,52.4,59.73,289.65,71,3249,KANGEMA,10229219,10,MURANG'A
A.I.C BELEKENYA,513404,34,45.64,48.73,0.0,47.73,45.91,45.64,233.65,535,13445,NANDI CENTRAL,26535144,26,UASIN GISHU
A.I.C BELEKENYA,535144,23,51.13,57.82,0.0,60.82,57.91,54.86,282.54,165,4002,WARENG,26535144,26,UASIN GISHU
A.I.C BETHEL PREPARATORY,704343,29,72.0,67.51,0.0,69.51,64.65,63.24,336.91,17,736,HOMA BAY,41704343,41,HOMA BAY
A.I.C CATHEDRAL,537248,16,63.37,59.68,0.0,55.5,57.18,58.5,294.23,120,2841,NAIVASHA,27570248,27,NAKURU
A.I.C CHEBAIYWO RUMAN,535149,38,43.52,54.1,0.0,49.97,48.02,47.15,242.76,387,11455,WARENG,26535149,26,UASIN GISHU
A.I.C DIGUNA RAINBOW,542126,19,57.68,52.47,0.0,52.31,59.52,60.21,282.19,174,4044,TINDERET,,,
A.I.C KAIGAT,540204,34,46.7,42.76,0.0,49.17,51.2,44.61,234.44,526,13232,NANDI NORTH,29540204,29,NANDI
A.I.C KAPTAGAT PREP,534127,28,65.89,62.42,0.0,64.85,62.1,65.89,321.15,61,1323,ELDORET EAST,26534127,26,UASIN GISHU
A.I.C KATISAA,302172,32,41.28,45.18,0.0,43.0,42.65,41.34,213.45,723,17263,KITUI CENTRAL,13302172,13,KITUI
A.I.C KITHIMANI,315126,17,55.0,53.0,0.0,44.82,49.52,47.94,250.28,412,9882,YATTA,,,
A.I.C KIYAP ACADEMY,563141,18,63.55,51.88,0.0,60.94,59.44,59.38,295.19,74,2767,KONOIN,,,
A.I.C LOPIDING,549204,20,51.85,55.0,0.0,55.2,52.9,59.35,274.3,32,5145,TURKANA WEST,21549204,21,TURKANA
A.I.C MATHEINI J ACADEMY,345120,29,63.89,63.2,0.0,65.96,60.51,62.65,316.21,44,1542,MATUNGULU,12345120,12,MACHAKOS
A.I.C NAKULUJA ACADEMY,501115,40,57.55,66.45,0.0,62.47,62.67,60.3,309.44,3,1872,TURKANA CENTRAL,21501115,21,TURKANA
A.I.C NGONG HILLS,557226,23,74.43,57.91,0.0,65.17,60.17,61.0,318.68,43,1430,KAJIADO NORTH,31557226,31,KAJIADO
A.I.C SIRGOI ACAD,540339,16,56.5,54.12,0.0,64.06,56.81,56.31,287.8,141,3423,NANDI NORTH,29540339,29,NANDI
A.I.C SOCHOI ACADEMY,541128,16,65.93,72.18,0.0,65.75,66.06,56.12,326.04,51,1116,NANDI EAST,,,
A.I.C SOSIOT,540266,12,46.91,52.66,0.0,54.08,64.0,57.25,274.9,226,5062,NANDI NORTH,29540266,29,NANDI
A.I.C TUMAINI,512167,17,70.88,59.64,0.0,66.76,57.88,58.47,313.63,55,1678,KERICHO,28512167,28,KERICHO
A.I.C VISA OSHWAL,517132,125,60.83,54.39,0.0,63.41,63.33,63.0,304.96,29,2123,BARINGO CENTRAL,33517132,33,BARINGO
A.I.C. BESIEBOR,509130,30,51.3,55.4,0.0,49.5,54.1,51.76,262.06,285,7356,ELDORET WEST,26509130,26,UASIN GISHU
A.I.C. GACHURIRI,341215,12,62.83,48.66,0.0,52.0,58.08,54.41,275.98,94,4893,MBEERE SOUTH,14341215,14,EMBU
A.I.C. KAPTAGAT CHILDRED',534123,33,43.33,47.12,0.0,43.3,47.48,48.21,229.44,432,14322,ELDORET EAST,,,
A.I.C. MOIBEN PREPARATORY,534201,22,64.22,59.31,0.0,65.59,61.77,65.63,316.52,65,1524,ELDORET EAST,26534201,26,UASIN GISHU
A.I.C. NAKURU ACADEMY,506142,22,58.13,47.27,0.0,51.81,50.22,57.45,264.88,202,6813,NAKURU MUNICIPALITY,27506142,27,NAKURU
A.I.C. NAMANGA,515419,34,58.55,65.91,0.0,47.05,52.88,53.41,277.8,112,4617,KAJIADO CENTRAL,,,
A.I.C. SARAMEE,531321,31,42.09,42.83,0.0,49.8,50.93,52.25,237.9,208,12515,POKOT CENTRAL,,,
A.I.C. TINDIRET ACADEMY,542132,28,60.57,74.03,0.0,70.03,67.6,62.57,334.8,41,806,TINDERET,29542132,29,NANDI
A.I.C. TIRET,509135,36,38.75,45.11,0.0,42.75,42.44,39.38,208.43,482,18004,ELDORET WEST,26509135,26,UASIN GISHU
A.I.P.C.A MUJUJUNE,334240,10,31.7,34.1,0.0,33.5,25.4,32.3,157.0,753,21217,BUURI,,,
A.I.P.C.A SUBUIGA,334131,37,44.56,42.97,0.0,40.97,45.62,45.29,219.41,486,16249,BUURI,15334131,15,MERU
A.I.P.C.A. MBARANGA ACAD,349135,16,59.5,59.43,0.0,60.12,54.18,57.12,290.35,109,3188,TIGANIA EAST,,,
A.K.MAGUGU,232111,63,46.44,47.68,0.0,48.2,46.77,45.03,234.12,428,13325,GITHUNGURI,11232111,11,KIAMBU
A.S.E. ST BRIGIDS ACADEMY,559250,24,76.95,79.0,0.0,74.91,69.58,73.25,373.69,1,55,KEIYO SOUTH,34559250,34,ELGEYO MARAKWET
ABAKIRI,322305,8,36.12,41.5,0.0,42.37,45.62,54.0,219.61,44,16225,GARBATULA,,,
ABAKORE,809104,39,42.89,33.35,0.0,38.05,40.38,52.56,207.23,45,18181,WAJIR SOUTH,46820104,46,WAJIR
ABDIAZIZ PRIVATE,805314,78,32.53,15.06,0.0,36.44,35.93,41.39,161.35,63,21147,LAGDERA,,,
ABEMA UPHILL ACADEMY,727148,28,30.57,29.21,0.0,31.96,28.92,27.39,148.05,901,21334,KENYENYA,,,
ABERCREST,209125,31,60.45,55.58,0.0,58.09,61.87,61.25,297.24,73,2625,NYANDARUA SOUTH,7209125,7,NYANDARUA
ABERDARE,209214,33,38.24,40.42,0.0,37.48,30.96,33.42,180.52,404,20548,NYANDARUA SOUTH,7209214,7,NYANDARUA
ABERDARE ACADEMY,220213,35,71.51,66.74,0.0,68.48,66.37,63.6,336.7,37,742,KIENI WEST,8220213,8,NYERI
ABERDARE F.K ACADEMY,555315,18,43.16,50.61,0.0,40.44,48.88,45.27,228.36,165,14539,LAIKIPIA CENTRAL,,,
ABERDARE PEAK,234316,17,59.82,56.88,0.0,58.52,48.64,54.58,278.44,102,4547,GATANGA,10234316,10,MURANG'A
ABIDA LANGO,106245,60,45.48,54.35,0.0,42.58,39.61,42.01,224.03,211,15396,MOMBASA,,,
ABIDHA,712317,14,52.71,31.92,0.0,51.28,50.71,54.5,241.12,420,11817,BONDO,42712317,42,SIAYA
ABIMBO,712238,21,42.42,26.52,0.0,49.23,41.19,42.85,202.21,596,18832,BONDO,42712238,42,SIAYA
ABOGE,714035,13,39.84,37.23,0.0,45.53,41.0,39.0,202.6,603,18789,KISUMU WEST,39714035,39,KISUMU
ABOL,714162,10,45.2,43.9,0.0,50.3,58.6,54.5,252.5,316,9375,KISUMU WEST,39714162,39,KISUMU
ABOLOI,606101,41,46.31,54.36,0.0,51.63,50.09,55.21,257.6,187,8258,TESO NORTH,35606101,35,BUSIA
ABOM,712144,7,63.71,60.14,0.0,55.14,63.85,52.0,294.84,47,2794,BONDO,42712144,42,SIAYA
ABORI,113109,44,46.43,53.2,0.0,42.5,46.15,42.63,230.91,85,14009,TAVETA,1113109,1,TAITA TAVETA
ABOSSI DEB,560101,67,55.35,52.94,0.0,53.07,51.14,50.22,262.72,124,7233,TRANS MARA EAST,32560101,32,NAROK
ABOTHUGUCHI BOARDING,318328,29,65.62,65.75,0.0,63.2,61.86,64.82,321.25,40,1317,MERU CENTRAL,15318328,15,MERU
ABU-HUREIRA ACADEMY,106141,53,69.26,54.96,0.0,65.58,62.24,72.16,324.2,42,1193,MOMBASA,3106141,3,MOMBASA
ABU-UBEYOA PRIVATE,801119,24,71.66,64.33,0.0,61.0,64.08,75.45,336.52,4,746,GARISSA,45801119,45,GARISSA
ABUBAKARI,105119,20,46.45,55.1,0.0,52.45,60.65,52.1,266.75,46,6440,KWALE,2105119,2,KWALE
ABUNDANT HOPE ACADEMY,507196,12,49.91,59.41,0.0,53.0,52.58,53.25,268.15,247,6192,ELDORET MUNICIPALITY,26507196,26,UASIN GISHU
ABUNDU,731301,16,48.62,52.0,0.0,49.87,53.18,53.37,257.04,266,8378,RACHUONYO NORTH,41731301,41,HOMA BAY
ABUORO,724136,18,57.27,48.5,0.0,54.22,52.66,53.88,266.53,199,6490,NDHIWA,41724136,41,HOMA BAY
ABUOYE,710225,32,51.78,41.53,0.0,51.31,51.12,48.75,244.49,399,11128,RACHUONYO SOUTH,41710225,41,HOMA BAY
ABURA,724001,16,61.56,55.93,0.0,67.68,66.56,64.56,316.29,32,1537,NDHIWA,41724001,41,HOMA BAY
ABUURI,309415,19,42.05,45.63,0.0,43.21,48.84,44.47,224.2,449,15371,IGEMBE SOUTH,15309415,15,MERU
ABWAO,707201,50,33.58,23.28,0.0,41.3,40.64,34.02,172.82,607,20840,MIGORI,39733301,39,KISUMU
ABWAO,707201,50,33.58,23.28,0.0,41.3,40.64,34.02,172.82,607,20840,MIGORI,44707201,44,MIGORI
ABWAO,733301,17,44.47,41.17,0.0,53.0,55.35,51.23,245.22,386,10958,NYAKACH,39733301,39,KISUMU
ABWAO,733301,17,44.47,41.17,0.0,53.0,55.35,51.23,245.22,386,10958,NYAKACH,44707201,44,MIGORI
ACACIA CREST ACADEMY,557129,54,84.72,70.29,0.0,77.53,71.12,73.87,377.53,2,33,KAJIADO NORTH,31567215,31,KAJIADO
ACACIA GREEN ACAD,230430,19,67.31,63.42,0.0,63.73,60.21,58.63,313.3,142,1695,KIKUYU,11230430,11,KIAMBU
ACACIA PARK ACADEMY,557334,16,68.93,59.25,0.0,57.81,55.31,59.62,300.92,71,2391,KAJIADO NORTH,31557334,31,KAJIADO
ACC&S,234106,27,49.48,55.25,0.0,52.66,45.77,46.85,250.01,196,9938,GATANGA,,,
ACHAGE,705219,18,50.55,42.38,0.0,44.88,50.22,47.27,235.3,468,13062,SIAYA,42705219,42,SIAYA
ACHEGO,704101,15,56.53,60.0,0.0,61.8,55.2,54.4,287.93,74,3410,HOMA BAY,39733201,39,KISUMU
ACHEGO,704101,15,56.53,60.0,0.0,61.8,55.2,54.4,287.93,74,3410,HOMA BAY,39734001,39,KISUMU
ACHEGO,704101,15,56.53,60.0,0.0,61.8,55.2,54.4,287.93,74,3410,HOMA BAY,41704101,41,HOMA BAY
ACHEGO,733201,32,63.34,53.5,0.0,65.75,57.4,57.62,297.61,68,2604,NYAKACH,39733201,39,KISUMU
ACHEGO,733201,32,63.34,53.5,0.0,65.75,57.4,57.62,297.61,68,2604,NYAKACH,39734001,39,KISUMU
ACHEGO,733201,32,63.34,53.5,0.0,65.75,57.4,57.62,297.61,68,2604,NYAKACH,41704101,41,HOMA BAY
ACHEGO,734001,42,53.83,30.95,0.0,48.09,45.38,46.16,224.41,505,15333,MUHORONI,39733201,39,KISUMU
ACHEGO,734001,42,53.83,30.95,0.0,48.09,45.38,46.16,224.41,505,15333,MUHORONI,39734001,39,KISUMU
ACHEGO,734001,42,53.83,30.95,0.0,48.09,45.38,46.16,224.41,505,15333,MUHORONI,41704101,41,HOMA BAY
ACHIEVERS EDUCATION CENTR,235140,38,65.63,53.97,0.0,57.94,62.5,63.73,303.77,179,2195,RUIRU,,,
ACHINGURE,733202,14,56.28,43.85,0.0,46.85,68.5,50.42,265.9,200,6627,NYAKACH,39733202,39,KISUMU
ACHUODHO,734002,18,48.72,35.44,0.0,56.88,56.38,55.72,253.14,308,9238,MUHORONI,39734002,39,KISUMU
ACHUTH,731121,25,45.8,42.6,0.0,49.52,57.52,50.92,246.36,374,10723,RACHUONYO NORTH,41731121,41,HOMA BAY
ACHUTH,731121,25,45.8,42.6,0.0,49.52,57.52,50.92,246.36,374,10723,RACHUONYO NORTH,44736201,44,MIGORI
ACHUTH,736201,16,53.31,45.87,0.0,47.81,51.56,55.93,254.48,210,8943,URIRI,41731121,41,HOMA BAY
ACHUTH,736201,16,53.31,45.87,0.0,47.81,51.56,55.93,254.48,210,8943,URIRI,44736201,44,MIGORI
ACIIT,620224,35,47.82,52.68,0.0,49.57,49.77,53.2,253.04,208,9257,TESO SOUTH,35620224,35,BUSIA
ACK BINNS,106528,15,58.26,50.33,0.0,48.53,45.8,45.66,248.58,175,10271,MOMBASA,3106528,3,MOMBASA
ACK BISHOP NJENGA,232124,19,63.42,59.1,0.0,54.78,62.05,57.31,296.66,198,2670,GITHUNGURI,11232124,11,KIAMBU
ACK C.A LIMO EDUCATIONAL,534253,22,67.81,68.5,0.0,70.59,65.68,65.9,338.48,31,679,ELDORET EAST,,,
ACK ENA,333101,40,52.77,45.6,0.0,45.25,50.4,50.82,244.84,198,11054,EMBU EAST,14333101,14,EMBU
ACK IGUMO,303432,20,59.4,58.15,0.0,42.6,54.2,45.5,259.85,136,7778,EMBU WEST,14303223,14,EMBU
ACK KAGAARI,333116,43,56.9,53.83,0.0,45.69,49.88,52.88,259.18,137,7914,EMBU EAST,14333116,14,EMBU
ACK KILIA,341423,23,42.17,49.43,0.0,39.08,39.52,40.78,210.98,349,17631,MBEERE SOUTH,14341423,14,EMBU
ACK NGIMARI ACADEMY,303325,28,47.14,51.89,0.0,43.6,43.21,40.25,226.09,281,14984,EMBU WEST,14355111,14,EMBU
ACK NGOMANGO,331137,23,37.52,40.86,0.0,43.95,42.69,38.91,203.93,797,18615,KITUI WEST,13360137,13,KITUI
ACK ST JAMES ACADEMY,205225,56,72.73,69.35,0.0,64.21,61.66,65.91,333.86,75,838,KIAMBU,11205225,11,KIAMBU
ACK ST PETER RUNG'ANG'A,303422,52,55.21,61.65,0.0,41.36,45.42,50.69,254.33,157,8961,EMBU WEST,14303215,14,EMBU
ACK ST PHILIP JUNIOR SCHO,210218,18,57.0,48.88,0.0,47.33,53.66,52.44,259.31,190,7886,KIENI EAST,,,
ACK ST PHILIPS G,234211,6,36.16,41.33,0.0,42.0,41.5,37.33,198.32,511,19252,GATANGA,,,
ACK WOTE TOWNSHIP,307139,118,71.69,67.34,0.0,74.21,70.63,69.73,353.6,6,305,MAKUENI,18307139,18,MAKUENI
ACTS ACADEMY,711161,27,40.25,37.62,0.0,41.85,36.59,36.66,192.97,711,19684,GUCHA,40711161,40,KISII
ADAMS,703157,21,57.28,57.76,0.0,56.66,55.28,55.14,282.12,101,4053,KISII CENTRAL,40703157,40,KISII
ADAMS ACADEMY,735247,26,56.76,57.57,0.0,65.92,55.61,52.96,288.82,85,3329,NORTH MASABA,40735247,40,KISII
ADANED SHINING STAR,544316,17,62.05,62.47,0.0,57.35,63.88,63.52,309.27,23,1879,LAIKIPIA WEST,30544316,30,LAIKIPIA
ADANYA,606114,57,50.36,56.7,0.0,50.61,51.38,53.19,262.24,164,7319,TESO NORTH,35606114,35,BUSIA
ADDAR JOY ACAD,401701,14,57.71,51.78,0.0,53.85,52.28,51.07,266.69,322,6452,Nairobi,20407107,20,NAIROBI
ADEGA,710201,23,48.69,34.39,0.0,47.65,49.17,45.47,225.37,627,15127,RACHUONYO SOUTH,41710201,41,HOMA BAY
ADEK,724247,26,46.8,34.03,0.0,55.15,53.8,51.3,241.08,435,11826,NDHIWA,41724247,41,HOMA BAY
ADEMASAJIDA,808202,36,46.58,36.5,0.0,39.86,41.38,59.97,224.29,36,15360,WAJIR WEST,46808202,46,WAJIR
ADEREMA,620126,37,41.21,40.89,0.0,40.97,45.67,52.16,220.9,322,15988,TESO SOUTH,35620126,35,BUSIA
ADHIRO,731401,15,47.8,34.53,0.0,49.2,51.46,51.26,234.25,520,13287,RACHUONYO NORTH,41731401,41,HOMA BAY
ADIEDO,731201,21,61.23,46.57,0.0,57.8,58.0,53.57,277.17,115,4715,RACHUONYO NORTH,41731201,41,HOMA BAY
ADITA,731003,17,52.23,52.64,0.0,59.58,57.47,56.35,278.27,106,4563,RACHUONYO NORTH,41731003,41,HOMA BAY
ADONGO,704216,17,42.52,33.05,0.0,50.17,47.94,51.17,224.85,632,15234,HOMA BAY,41704216,41,HOMA BAY
ADU,119201,36,40.05,50.02,0.0,50.47,53.3,46.25,240.09,159,12043,MAGARINI,4119201,4,KILIFI
ADU BLOSSOM EDUC CTR,733101,31,67.67,57.61,0.0,62.51,64.29,56.45,308.53,48,1914,NYAKACH,,,
ADUONG MONGE,714139,15,53.26,48.46,0.0,60.53,64.8,56.13,283.18,101,3929,KISUMU WEST,39714139,39,KISUMU
ADUOYO,721242,24,52.95,33.91,0.0,57.7,58.0,55.12,257.68,278,8241,RARIEDA,42721242,42,SIAYA
ADURUKOIT,606201,35,39.51,38.77,0.0,43.51,45.08,39.71,206.58,347,18269,TESO NORTH,35606201,35,BUSIA
ADUWA,705126,11,47.45,41.9,0.0,61.45,50.36,49.63,250.79,337,9766,SIAYA,42705126,42,SIAYA
ADVENT HILLS,557336,20,79.5,68.25,0.0,71.65,67.7,66.3,353.4,13,308,KAJIADO NORTH,31557336,31,KAJIADO
ADVENT JUNIOR ACA,613235,15,49.6,55.13,0.0,52.46,49.66,50.8,257.65,201,8247,BUNGOMA EAST,,,
AEDOMORU,606102,42,36.88,44.73,0.0,40.97,46.57,40.26,209.41,344,17866,TESO NORTH,35606102,35,BUSIA
AEPC HANNAH PRIMARY,309208,23,43.95,44.73,0.0,36.39,35.08,38.3,198.45,618,19240,IGEMBE SOUTH,,,
AFESOMO ACADEMY,528161,22,51.5,59.09,0.0,48.5,50.5,46.4,255.99,174,8602,TRANS NZOIA EAST,23528161,23,TRANSNZOIA
AGA KHAN,401049,95,74.3,54.4,3.25,62.02,56.17,57.85,307.99,162,1953,Nairobi,20406010,20,NAIROBI
AGAGE,705234,23,60.47,48.0,0.0,57.56,54.82,50.65,271.5,152,5594,SIAYA,42705234,42,SIAYA
AGAI,733203,87,50.85,45.09,0.0,51.35,49.19,49.43,245.91,377,10814,NYAKACH,39733203,39,KISUMU
AGANGA,546222,27,56.22,46.74,0.0,66.48,61.81,60.07,291.32,46,3105,NAROK SOUTH,32546222,32,NAROK
AGANO JUNIOR ACADEMY,401496,31,63.51,63.77,0.0,53.06,50.32,54.38,285.04,253,3705,Nairobi,20409036,20,NAIROBI
AGAPE ACADEMY,710382,17,58.35,47.82,0.0,57.29,61.64,65.64,290.74,64,3154,RACHUONYO SOUTH,41710382,41,HOMA BAY
AGAPE DAY SPRING,235157,12,75.08,71.33,0.0,68.16,66.66,63.58,344.81,44,498,RUIRU,11235157,11,KIAMBU
AGAPE LIFE CENTRE,507205,11,54.54,55.0,0.0,58.45,56.63,54.36,278.98,183,4484,ELDORET MUNICIPALITY,26507205,26,UASIN GISHU
AGAPE VISION,722179,18,55.38,59.83,0.0,56.83,54.61,53.88,280.53,49,4271,MANGA,43722179,43,NYAMIRA
AGATHE ACADEMY,607212,24,55.0,60.7,0.0,60.2,60.58,53.45,289.93,117,3221,LUGARI,37607212,37,KAKAMEGA
